ORG-AFF	OrganizationAffiliation
GEN-AFF	GeneralAffiliation
PART-WHOLE	PartWhole
PHYS	Physical
PER-SOC	PersonalSocial
ORG-AFF:Student-Alum	OrganizationAffiliation.StudentAlum
ORG-AFF:Ownership	OrganizationAffiliation.Ownership
ORG-AFF:Founder	OrganizationAffiliation.Founder
ORG-AFF:Investor-Shareholder	OrganizationAffiliation.InvestorShareholder
PHYS:Near	Physical.LocatedNear
PER-SOC:Family	PersonalSocial.Family
PER-SOC:Business	PersonalSocial.Business
PART-WHOLE:Subsidiary	PartWhole.Subsidiary
ORG-AFF:Employment	OrganizationAffiliation.EmploymentMembership
ORG-AFF:Membership	OrganizationAffiliation.EmploymentMembership
PHYS:Located	Physical.LocatedNear
GEN-AFF:Citizen-Resident-Religion-Ethnicity	GeneralAffiliation.MORE
ART	GeneralAffiliation.APORA
ART:User-Owner-Inventor-Manufacturer	General-Affiliation.APORA
PART-WHOLE:Geographical	PartWhole.Subsidiary
PART-WHOLE:Artifact	PartWhole.Membership
ORG-AFF:Sports-Affiliation	OrganizationAffiliation.Employment-Membership
GEN-AFF:Org-Location	Physical.Organization-Location-Origin
PER-SOC:Lasting-Personal	Personal-Social.Unspecified
